colID,logFC,fracExprIN,fracExprOUT,rank.sum,p.value,cluster,gene
2454,4171,4.22773739791742,1,0.970149253731343,88131,2.88084731725759e-56,1,Zbtb20
2529,4323,3.00680610206375,1,1,88054,6.59291338527318e-56,1,Bin2
655,1103,6.37733297708047,0.967032967032967,0.706467661691542,87918.5,1.95181434670491e-55,1,Zfp36
979,1668,7.57295260819614,0.901098901098901,0.437810945273632,87546.5,6.1604529059777e-55,1,Ctla2b
867,1468,3.02059838579589,0.981684981684982,0.885572139303483,87835.5,6.63305010611179e-55,1,Cd63
309,518,4.67967347132204,0.985347985347985,0.890547263681592,87784,1.15197958120473e-54,1,Elmo1
1781,3011,7.4539161381099,0.926739926739927,0.552238805970149,87525,4.00611917278128e-54,1,Pglyrp2
40,69,7.39336639377043,0.956043956043956,0.796019900497512,87645,4.3201185431037e-54,1,Tbxas1
1444,2493,4.03534765032331,0.974358974358974,0.840796019900497,87638,5.14698776112254e-54,1,Gstm1
971,1657,6.41278692627396,0.952380952380952,0.751243781094527,87612,5.45837258755758e-54,1,Rbpms
1879,3168,1.94117902746025,1,1,87612,7.23718751144953e-54,1,Ifitm3
1144,1989,3.85693264257323,0.985347985347985,0.805970149253731,87518,1.77804737298859e-53,1,AW112010
1813,3068,3.89187765855708,0.985347985347985,0.875621890547264,87468,3.19286595562044e-53,1,Anxa5
2583,4414,4.32813877582142,1,1,87342,1.22147284150205e-52,1,Cd27
1868,3157,4.1430523642398,0.937728937728938,0.686567164179104,87062.5,1.26631659302553e-51,1,Ldhb
22,37,4.26053485051587,0.989010989010989,0.965174129353234,87071.5,2.00195234298341e-51,1,Prtn3
148,248,2.93831637635807,0.967032967032967,0.825870646766169,87010.5,3.42298817770087e-51,1,Cd63-ps
991,1692,4.99562991158447,0.989010989010989,0.940298507462687,86987,4.75260456337115e-51,1,Vim
1297,2239,5.88524095053419,0.945054945054945,0.696517412935323,86887.5,8.28034283227582e-51,1,Lcp2
1691,2861,3.7843870642707,0.989010989010989,0.960199004975124,86844,2.05077688647437e-50,1,Mef2c
482,799,7.9164722278418,0.970695970695971,0.925373134328358,86834,2.2447405095995e-50,1,Serpina3g
2008,3375,3.48284633377785,0.967032967032967,0.771144278606965,86815,2.31601008241899e-50,1,Mfng
721,1222,7.89249561180628,0.901098901098901,0.54726368159204,86650.5,2.60220943674864e-50,1,Myl10
2643,4522,3.53377082858865,0.989010989010989,0.920398009950249,86675,1.13112682737755e-49,1,Fkbp1a
1754,2965,6.73602189330348,0.923076923076923,0.631840796019901,86381,9.10300156388006e-49,1,Plcb2
2265,3831,5.16046458608709,0.95970695970696,0.865671641791045,86287.5,5.21660144980672e-48,1,Napsa
2026,3400,1.13100228720978,1,1,86237,9.08938558061668e-48,1,Slc34a2
1250,2160,3.62856815361231,0.989010989010989,0.865671641791045,86192.5,1.37413467966583e-47,1,Mndal
1358,2337,6.32007114622308,0.956043956043956,0.845771144278607,86168,1.66168914927191e-47,1,Gm8995
2683,4595,4.6379554724121,0.95970695970696,0.850746268656716,85976,1.1083628680781e-46,1,Cnn2
2104,3534,6.28574119358343,0.996336996336996,0.975124378109453,85944.5,1.61182937238392e-46,1,Cd34
865,1465,2.91167831763634,0.996336996336996,0.940298507462687,85943,1.6324889896137e-46,1,Ptprc
2490,4244,2.62516753851318,1,0.990049751243781,85855,3.85599667776532e-46,1,H2-Q6
2119,3561,6.37270083106696,0.908424908424908,0.592039800995025,85723,4.28461125626884e-46,1,Hacd4
738,1253,2.85625347247362,0.992673992673993,0.985074626865672,85670,2.31148451674679e-45,1,Tnfaip8
322,544,5.92956355375241,0.919413919413919,0.646766169154229,85503,5.41643247151222e-45,1,Gng2
280,472,6.59498640833888,0.95970695970696,0.81592039800995,85560.5,5.97411837043535e-45,1,Tmem173
2403,4064,4.67147449334758,0.95970695970696,0.805970149253731,85556.5,6.12489881121041e-45,1,Jun
2526,4317,7.641385802254,0.824175824175824,0.36318407960199,84966,1.16146935335877e-44,1,Procr
1362,2342,6.83781365534581,0.868131868131868,0.497512437810945,85235,1.35422703599894e-44,1,Gng11
667,1128,7.35154813803318,0.897435897435897,0.552238805970149,85267,2.38571977844956e-44,1,Il21r
960,1639,4.46945593772148,0.952380952380952,0.835820895522388,85405.5,2.66250405697697e-44,1,Plcg2
1984,3336,2.83897411936387,0.989010989010989,0.830845771144279,85391,3.1906957986783e-44,1,Ypel3
249,420,5.53367283076351,0.967032967032967,0.90547263681592,85247.5,1.27677975324449e-43,1,Runx2
2296,3898,5.96475138992319,0.989010989010989,0.955223880597015,85240.5,1.38921415019863e-43,1,Emb
1664,2827,6.20753725766011,0.952380952380952,0.890547263681592,85010,1.16643455747348e-42,1,Cd93
1203,2079,5.46544841531915,0.948717948717949,0.810945273631841,84966,1.61330895155679e-42,1,Tes
1857,3142,7.33285634787362,0.827838827838828,0.442786069651741,84595,1.62160012036993e-42,1,Ebi3
853,1447,3.82556622933937,0.978021978021978,0.825870646766169,84917,2.71214086702041e-42,1,Sptbn1
1585,2716,5.1384357390211,0.908424908424908,0.601990049751244,84776,3.86901632119969e-42,1,Epsti1
1339,2309,7.39172814461494,0.919413919413919,0.73134328358209,84788,6.5011820493774e-42,1,Rgs1
379,634,4.33120927180584,0.963369963369963,0.880597014925373,84809,7.57688659018286e-42,1,Rab37
809,1378,4.08918053953397,0.923076923076923,0.631840796019901,84688,1.1407393578823e-41,1,Tgtp1
