Gene Name	CorValue
klhl6	0.197145640850067
inpp1	0.197103172540665
tle2	0.196711882948875
slco3a1	0.196667432785034
ica1	0.196346029639244
parp3	0.19627670943737
soat1	0.195002034306526
tbxa2r	0.194951996207237
ms4a6c	0.194862097501755
susd3	0.194130212068558
pim2	0.193926081061363
trim47	0.193624839186668
gbp8	0.193384677171707
serpina3f	0.192779570817947
ifi47	0.192701369524002
cd244	0.192605003714561
smpd2	0.192519843578339
tns2	0.192505016922951
maml2	0.192470028996468
ctsf	0.191356226801872
casp4	0.191186502575874
naga	0.191088184714317
1810011h11rik	0.191070750355721
arid5a	0.190947875380516
il17re	0.19069217145443
4833407h14rik	0.190093711018562
lhcgr	0.18999870121479
rab37	0.18996824324131
ctso	0.189929306507111
tnfrsf1b	0.189591228961945
h2-m3	0.189248904585838
insl6	0.188926860690117
pomgnt2	0.188658654689789
kctd12	0.188421040773392
sytl1	0.188383415341377
hdgfrp3	0.187697812914848
csad	0.187690228223801
cst3	0.187677681446075
pqlc3	0.18743371963501
phf11b	0.18742910027504
npdc1	0.186633467674255
ggta1	0.186596021056175
nceh1	0.186324089765549
galk2	0.186282455921173
nfatc1	0.186281353235245
cd69	0.186179772019386
csgalnact1	0.185960292816162
slfn2	0.185800164937973
plxna4os1	0.185631439089775
h2-ob	0.185286447405815
aldoc	0.185176029801369
tmem71	0.184965670108795
rgs3	0.184863656759262
slc28a2	0.184845805168152
eml4	0.184765592217445
dync2li1	0.184601992368698
ccl9	0.184253960847855
mamdc2	0.184209540486336
mn1	0.183465987443924
bdh2	0.18328469991684
tcirg1	0.183162584900856
pea15a	0.182654544711113
upp1	0.18259508907795
ctsc	0.182163313031197
trim30b	0.181997388601303
cdk19	0.181887418031693
pgm2	0.181768953800201
cytip	0.181399062275887
slfn8	0.181101843714714
robo4	0.180783301591873
gm7694	0.180683791637421
h2-q7	0.180647149682045
b4galt6	0.180450350046158
irf5	0.180411651730537
tm6sf1	0.180380135774612
trps1	0.18026727437973
zfp521	0.180258467793465
adora2a	0.179966628551483
glipr2	0.179438695311546
lrrc49	0.17931279540062
tmem154	0.179000854492188
h2-aa	0.178554892539978
sigirr	0.178461849689484
dhrs3	0.177702039480209
slco4a1	0.177468627691269
milr1	0.177465677261353
mllt4	0.177333816885948
wfdc2	0.177327886223793
mylk	0.177279144525528
slc35d3	0.177263900637627
exoc6b	0.177197366952896
slc16a11	0.177004337310791
ano10	0.1769640147686
il18rap	0.176831439137459
rel	0.17598620057106
gcat	0.175908148288727
plxnb2	0.175816759467125
adam22	0.175792828202248
capn2	0.17509388923645
zfp275	0.174961596727371
jam3	0.174409553408623
nfatc2	0.174395948648453
tnfrsf13c	0.174275383353233
fhl1	0.173872083425522
osgin1	0.17386719584465
irf8	0.173652932047844
txnip	0.173415139317513
myo5a	0.172912672162056
trib3	0.17287041246891
mgst2	0.172803893685341
gimap3	0.172703504562378
vav1	0.172655880451202
cdk14	0.172556594014168
zfp945	0.172422498464584
n4bp3	0.172302305698395
sult1a1	0.172043904662132
ly6e	0.17191044986248
fut8	0.171385630965233
dusp1	0.171221777796745
ahnak	0.170959502458572
usp22	0.17089806497097
prdm5	0.170844256877899
ncf1	0.170779779553413
fam212a	0.170721337199211
gbp10	0.170617654919624
b3gnt5	0.170123815536499
tmem37	0.169814258813858
gm12250	0.169609114527702
man1c1	0.169563263654709
gfi1	0.169497534632683
pglyrp1	0.169430628418922
arhgap4	0.169295087456703
fgd4	0.168886184692383
cers6	0.168733507394791
tet1	0.16862028837204
epb4.1l3	0.16825920343399
ikbke	0.168133720755577
fam49a	0.168058454990387
gmpr	0.167816653847694
csf2rb	0.167262226343155
2610035d17rik	0.167232796549797
p2rx1	0.167007029056549
crispld1	0.16695848107338
cd200	0.166958197951317
man2a2	0.166749849915504
slc16a12	0.166711583733559
gbp9	0.16657118499279
cbfb	0.166538894176483
d630039a03rik	0.166198462247849
cd84	0.166090741753578
map3k14	0.165466383099556
fut7	0.165413454174995
sh3bp5	0.165264561772346
cacnb2	0.164710849523544
ets1	0.164326816797256
slc34a2	0.163912355899811
traf1	0.163912162184715
neat1	0.163819491863251
myof	0.163646176457405
gabbr1	0.163613080978394
antxr2	0.163150802254677
ctsh	0.163030609488487
pard3b	0.16296049952507
arhgef18	0.162830844521523
abhd17b	0.162044614553452
ly9	0.161312237381935
mcoln2	0.161241143941879
4931406c07rik	0.16116289794445
cpne8	0.160242393612862
trim30a	0.160114899277687
entpd1	0.160093754529953
prr5	0.160028785467148
cpxm1	0.159943833947182
spata13	0.159721910953522
pgr	0.159637436270714
il1r1	0.159448251128197
tbc1d4	0.159377321600914
tnfrsf26	0.159244939684868
bend4	0.159025207161903
ggt5	0.158947378396988
dgka	0.158846020698547
tnfsf10	0.158790543675423
eps8	0.158621326088905
fam102a	0.158354252576828
parvg	0.158049091696739
trim30d	0.158029794692993
2810468n07rik	0.157938838005066
cfp	0.157735452055931
klhl4	0.157575130462646
dpy19l3	0.157372698187828
prss57	0.157048314809799
gm14636	0.156946808099747
tpm4	0.15688444674015
socs5	0.1568463742733
runx1t1	0.156469896435738
clec4e	0.156428202986717
galnt12	0.1562110632658
c030034l19rik	0.15578904747963
tha1	0.155735969543457
gpsm1	0.155733227729797
man1a	0.155653342604637
npr2	0.155261054635048
c1rl	0.155151724815369
ghr	0.154982209205627
selplg	0.154883414506912
nfkbie	0.154872596263885
trim12a	0.154763549566269
cd96	0.154609560966492
pde2a	0.153618425130844
il27ra	0.153377711772919
ctsw	0.153221547603607
pls3	0.152793407440186
bpifc	0.15266814827919
oas1g	0.152631863951683
fgd5	0.152390956878662
faah	0.152232512831688
fbp1	0.151989579200745
il6st	0.15160097181797
nav1	0.151556253433228
sgce	0.151456996798515
obscn	0.151376560330391
arl11	0.151354685425758
ppp1r9a	0.151197031140327
vegfc	0.151076659560204
aff3	0.150660872459412
pxylp1	0.150307551026344
hdac11	0.150113493204117
mfsd6	0.150048092007637
naglu	0.149995476007462
ttpa	0.149129316210747
fmnl2	0.148901596665382
mylip	0.148634195327759
cadps2	0.148577556014061
selp	0.148522391915321
frmd4b	0.148515447974205
nxpe5	0.148402884602547
adck3	0.148394510149956
efna1	0.148282214999199
ociad2	0.148222520947456
cd68	0.148081496357918
ankrd13d	0.147702425718307
adam11	0.147339001297951
tead2	0.146916761994362
kif17	0.146758750081062
irak3	0.146272554993629
inadl	0.146259859204292
slc37a1	0.145831897854805
gbp4	0.14558781683445
sgsm1	0.14555187523365
themis2	0.145328730344772
txndc16	0.145303383469582
kbtbd11	0.145290270447731
prdm16	0.145259946584702
lrmp	0.145157605409622
slc25a45	0.145027115941048
rnase6	0.144838750362396
prkcd	0.144759431481361
mpo	0.144684076309204
ssh3	0.144625350832939
glis2	0.144487634301186
ighv1-77	0.144446223974228
ipcef1	0.144172146916389
nfkbia	0.143997132778168
hexa	0.143933236598969
camkk1	0.143772333860397
pydc4	0.143701896071434
slc30a4	0.143433466553688
st14	0.143242985010147
zfp260	0.143122777342796
prkcq	0.143020004034042
akt3	0.143013164401054
capg	0.142715811729431
cd33	0.142515167593956
tlr2	0.142185032367706
flnb	0.141709804534912
atp10a	0.141231045126915
plac8	0.140902951359749
rdh12	0.140823408961296
gm10384	0.14077790081501
gm10419	0.14069639146328
gyltl1b	0.140671238303185
parp14	0.140592783689499
cav2	0.140401482582092
slc16a7	0.140377178788185
f630028o10rik	0.140039399266243
dpp4	0.139762133359909
krt7	0.139519527554512
eepd1	0.139435634016991
csf2rb2	0.139186516404152
tapbpl	0.138602957129478
c230085n15rik	0.138576313853264
ppm1m	0.138553321361542
siglecg	0.138404324650764
pnck	0.1382145434618
cldn12	0.138192474842072
hgfac	0.138069152832031
clip3	0.138018548488617
repin1	0.138010859489441
gimap4	0.137998133897781
ccdc112	0.137710690498352
il12rb1	0.13711504638195
pak1	0.136726096272469
cyp26b1	0.136220648884773
layn	0.136193573474884
tgfbi	0.136110812425613
cd1d1	0.135825082659721
bgn	0.135697260499001
zdhhc20	0.135581955313683
ece1	0.135574325919151
ier3	0.135436818003654
islr	0.135386645793915
myo5c	0.135370820760727
rhoq	0.135250344872475
map3k8	0.135158881545067
ddx60	0.135019809007645
wfdc18	0.134531736373901
cbx7	0.134491145610809
hnf4a	0.134410545229912
rhoj	0.13383974134922
sstr2	0.133829206228256
samd10	0.133819505572319
cd274	0.133818462491035
gria3	0.133818209171295
mpdz	0.133813604712486
rab6b	0.133768066763878
tcp11l2	0.133703351020813
nckap1l	0.133643120527267
tspan2	0.133540406823158
itgb5	0.13353343307972
batf2	0.133440628647804
coro2b	0.132895573973656
panx1	0.132843613624573
wsb1	0.132685273885727
chil5	0.132544204592705
gm11346	0.132362812757492
pld3	0.131967276334763
sp100	0.131787449121475
ptk7	0.131518393754959
lag3	0.131403058767319
fggy	0.131369292736053
nfe2	0.131318181753159
plekha1	0.131315544247627
lpcat2	0.131012454628944
sdc1	0.130808338522911
fndc3a	0.130747050046921
bc026585	0.130167156457901
asb13	0.130006641149521
arap1	0.129915848374367
dtx3l	0.129856184124947
csf1r	0.129820808768272
gas6	0.129796862602234
ptpn6	0.129758402705193
ighv1-81	0.12967911362648
lmo4	0.129670843482018
cyfip2	0.12964940071106
jchain	0.129604771733284
acox1	0.129414513707161
slc6a15	0.129355862736702
ifi27l2a	0.128957509994507
rora	0.128391444683075
smtnl1	0.128240019083023
fos	0.128157258033752
ccser1	0.127982139587402
foxred2	0.12789212167263
atp8b4	0.127819567918777
rnf217	0.127702921628952
jam2	0.127624019980431
gramd3	0.127612859010696
thbs1	0.127284407615662
car9	0.127264365553856
gm12185	0.127260252833366
slfn9	0.127081722021103
accs	0.127056136727333
ptger3	0.127002686262131
ldhd	0.126959607005119
rras	0.1269271671772
mapkapk3	0.126651674509048
ppcdc	0.126602366566658
abi2	0.126417115330696
rgl1	0.126242011785507
pik3cg	0.125570207834244
rras2	0.12555880844593
edem2	0.125406384468079
clec12a	0.125365599989891
ai467606	0.125255182385445
mdga1	0.125253796577454
emid1	0.125217944383621
pla2g15	0.125163480639458
nicn1	0.125087603926659
zfp422	0.125000208616257
dtna	0.124763011932373
gjb3	0.124733291566372
atp11a	0.124623395502567
carns1	0.124586962163448
h2-eb1	0.12454953789711
abhd4	0.124376319348812
dennd2a	0.124375097453594
cx3cl1	0.124204777181149
abcd1	0.124105423688889
5031414d18rik	0.12406399846077
nr4a1	0.123836994171143
naip5	0.123749278485775
hnmt	0.123571053147316
gbe1	0.123533107340336
irf6	0.123073257505894
apbb1	0.123050332069397
tlr4	0.122897163033485
ralgds	0.122734233736992
zbtb10	0.122465454041958
fam105a	0.122459396719933
slc17a9	0.12243989855051
oas2	0.122439838945866
igtp	0.122430764138699
nrros	0.122281417250633
ankrd44	0.12184351682663
ttc21b	0.121497102081776
scml4	0.121031492948532
c530050e15rik	0.121030367910862
hpse	0.121000990271568
zmat1	0.120952732861042
fam214a	0.120946541428566
spo11	0.120925799012184
ppp1r16b	0.12091001868248
rai14	0.120852559804916
nod1	0.120751559734344
appl1	0.120677977800369
igdcc4	0.120639890432358
ap1s2	0.120629861950874
gatsl3	0.120501615107059
dusp6	0.120498202741146
map3k3	0.120430216193199
lrrn4	0.120376639068127
fam171a1	0.120348639786243
tcea2	0.120341397821903
klhl24	0.120326563715935
atp2b4	0.120304733514786
sort1	0.12019344419241
gprc5b	0.120145753026009
nwd1	0.120037868618965
shisa9	0.120033785700798
ak4	0.120028406381607
slc7a8	0.119859397411346
akr1c12	0.119800768792629
mical1	0.119438976049423
smim10l2a	0.119371712207794
anxa3	0.119311064481735
syk	0.119146637618542
pde1b	0.1188680306077
ramp2	0.118789739906788
triqk	0.118741609156132
ldlrad3	0.118729457259178
cd300a	0.118617452681065
rsl1	0.118429571390152
bc016579	0.118370480835438
itgav	0.118305988609791
pag1	0.118299916386604
plxna3	0.118169493973255
snx24	0.117766812443733
fah	0.117743887007236
fgl2	0.117726810276508
extl2	0.117708668112755
kcnh2	0.117623910307884
hs3st1	0.117428943514824
8430419k02rik	0.117137208580971
tmem86a	0.11688856780529
osbpl1a	0.116611413657665
cerk	0.116591945290565
tmbim1	0.116490706801414
mrgpre	0.116293460130692
f830016b08rik	0.11627072095871
il15ra	0.116263404488564
syde1	0.116222530603409
tmem38a	0.116178408265114
sema3d	0.115888737142086
exoc3l	0.11586382240057
plk2	0.11586220562458
btg2	0.115832082927227
s1pr3	0.11579193174839
dock11	0.115726791322231
gm5431	0.115671552717686
rab11fip3	0.115434020757675
nabp1	0.115378759801388
rnasel	0.115134954452515
mov10	0.114955551922321
arhgef5	0.11492582410574
igkc	0.114880576729774
ighv6-3	0.114867098629475
mapk12	0.11458782106638
plcl1	0.114320918917656
pkib	0.113705761730671
ube2e2	0.113654136657715
gabre	0.113425597548485
ndrg1	0.11337473243475
4632428n05rik	0.11336112767458
lgmn	0.113351479172707
tmem50b	0.113338902592659
itsn1	0.113053418695927
ldlr	0.112751215696335
lzts1	0.112692132592201
5330426p16rik	0.112635470926762
haao	0.11225850880146
cdcp1	0.11211471259594
btbd3	0.112050130963326
nlrc3	0.111799329519272
il12rb2	0.111691311001778
phf13	0.111634142696857
slc22a18	0.111581839621067
pvrl4	0.111080400645733
igf1	0.111003719270229
gm973	0.110973335802555
pdzk1ip1	0.110796183347702
usp28	0.110689476132393
slc26a11	0.110275916755199
trim26	0.110219463706017
ccdc102a	0.110208109021187
parp12	0.110102668404579
clec1a	0.109938062727451
sh2b3	0.109755843877792
gm4841	0.109427355229855
hdac9	0.109415397047997
neurl1b	0.109159335494041
pkd2	0.10913921892643
serpina3n	0.109024979174137
idh1	0.108878746628761
fam167a	0.108810223639011
slc23a2	0.108747132122517
aph1b	0.108469665050507
yes1	0.108403787016869
sall2	0.108403116464615
crebrf	0.108268044888973
tecpr1	0.107916727662086
aktip	0.107908420264721
acer2	0.107503525912762
prkg1	0.107408829033375
creb5	0.107384346425533
mmp2	0.107382155954838
igkv14-111	0.10727733373642
emp1	0.107228524982929
ighv1-82	0.107053115963936
gm19331	0.10697553306818
kazald1	0.106947511434555
birc3	0.106927409768105
pld4	0.106865331530571
cd38	0.106830753386021
fgf11	0.106606274843216
tspyl3	0.106591604650021
h2-dmb2	0.106532946228981
rorc	0.106391981244087
bmpr2	0.106300979852676
stambpl1	0.106280311942101
xaf1	0.106139414012432
crispld2	0.105973400175571
slc16a2	0.105941370129585
lrrc75a	0.105829939246178
clec14a	0.105665154755116
nkg7	0.105653963983059
tgfbr2	0.105392508208752
ccdc149	0.105357863008976
zfp937	0.105321459472179
rnase4	0.105290055274963
gpr160	0.105064250528812
insig1	0.104721412062645
id2	0.104712374508381
rassf4	0.104695029556751
mcfd2	0.104655206203461
hip1	0.104629084467888
kcng1	0.104581810534
zfp287	0.104555726051331
acvr1	0.10454299300909
pydc3	0.104520626366138
rcn2	0.1042765006423
aacs	0.104071982204914
rag2	0.104025952517986
nuak2	0.103949896991253
hmgcs1	0.10377137362957
zmiz1	0.103720366954803
plekhg6	0.103653162717819
zfp52	0.103576228022575
vdr	0.103522509336472
pfkfb3	0.103460587561131
tm4sf1	0.103234559297562
prune2	0.102754719555378
msl3l2	0.102692164480686
muc13	0.102570831775665
9930012k11rik	0.102570548653603
gm4955	0.10248190164566
app	0.102412655949593
marveld2	0.102404847741127
map9	0.102348275482655
sccpdh	0.102289386093616
bank1	0.10215949267149
sh2d2a	0.102067887783051
srgap3	0.102061048150063
arhgap27os3	0.101863667368889
itpk1	0.101823374629021
i830077j02rik	0.101746372878551
cdh15	0.101701147854328
mctp2	0.101685509085655
mettl7a1	0.101624421775341
elf1	0.101600006222725
sox18	0.101523295044899
lrp12	0.101495869457722
fmo5	0.101471237838268
tirap	0.101226188242435
ckb	0.101163670420647
mpzl1	0.101034574210644
decr2	0.101022206246853
e430014b02rik	0.100949734449387
vwa5a	0.100816547870636
sorl1	0.100663438439369
b3galnt1	0.100603803992271
nfil3	0.100581534206867
psd3	0.100456900894642
snx33	0.100432939827442
tnfsf11	0.100380636751652
p2ry10	0.100327804684639
ifit3	0.100241459906101
osbpl5	0.100215688347816
timp3	0.100067801773548
serpinb9	0.0999486818909645
gm38082	0.099852666258812
prr5l	0.0998381525278091
slc31a2	0.0997520983219147
marveld1	0.0995843783020973
slc16a13	0.0993327796459198
snx29	0.09930519759655
tspan6	0.099167063832283
spata6	0.0991630554199219
hpcal1	0.0988419875502586
cd86	0.098829910159111
ephx1	0.0987002775073051
5730409e04rik	0.0986865684390068
podnl1	0.0984680950641632
frmd6	0.0983742624521255
trim5	0.098337322473526
gm26510	0.098289467394352
fam129a	0.0982868298888206
plag1	0.0982777774333954
ano6	0.0981225669384003
ldoc1l	0.0978646650910378
rhbdf1	0.097832977771759
gdi1	0.0977644696831703
shroom4	0.0976119935512543
nudt16	0.0971870049834251
zbp1	0.0971076413989067
itgal	0.0970752686262131
gprasp1	0.0970713719725609
ppfibp1	0.0970567986369133
camk2b	0.0969806015491486
atg16l2	0.0968289598822594
arhgap29	0.0967828705906868
dhx58	0.0967038348317146
prkaa2	0.0965759456157684
ric8	0.0965625941753387
sbf2	0.0965487435460091
cracr2b	0.0965437144041061
igkv5-39	0.0964788571000099
pdgfc	0.0964774861931801
sgcb	0.0964545682072639
clic5	0.0963265299797058
fbxo32	0.0961277484893799
scaper	0.0960867628455162
smurf1	0.095997266471386
tek	0.0958615690469742
pak3	0.0958104580640793
ppp1r3b	0.0957969650626183
nupr1	0.0957532301545143
cdc42se2	0.0957343056797981
pkia	0.0957079082727432
itga6	0.0957012325525284
cflar	0.0957006886601448
tacc1	0.0956524834036827
ppargc1a	0.0956077501177788
serpinb6a	0.0953303873538971
p2ry2	0.0953007265925407
bhlhe40	0.0952363163232803
cep55	0.09501101821661
pogk	0.0947775542736053
ppp2r2b	0.0946977213025093
inhba	0.0946802347898483
slc41a1	0.0945985317230225
rnf24	0.094522126019001
cep170b	0.0944092571735382
osbpl3	0.0943447798490524
smad3	0.0942137539386749
il7	0.0940105766057968
zfp30	0.0939943790435791
synj2	0.0939820632338524
clu	0.093974269926548
gem	0.0939307659864426
brdt	0.0939015820622444
xkr8	0.0938289240002632
itpr3	0.0938278511166573
e030030i06rik	0.093812569975853
tec	0.093682162463665
sft2d2	0.0936311259865761
gas2l3	0.0934918820858002
plekhg1	0.0934486985206604
pf4	0.0933478847146034
pabpc4l	0.0933318361639977
1700026l06rik	0.0931482166051865
bok	0.0928990766406059
fkbp9	0.0928921326994896
capn5	0.0928881019353867
pacsin1	0.0928837135434151
9330182l06rik	0.0928413942456245
zfp40	0.0928371325135231
d8ertd82e	0.0926772207021713
ttc39c	0.0926567763090134
igkv14-126	0.0924208238720894
ighv1-74	0.0921088978648186
